invtun;lohy-lohx;koeala;kuvio;kunta;koealankorkeus;lamposumma;framaa;maaluokka;entinenmaaluokka;paatyyppi;kasvupaikkat;kasvuplisa;suotyy;turvekangas;ojitustilanne;tehtyojitus;ojitusaika;ojitustarve;ojienkunto;veroluokka;veroluokkatarkennus;orgkerroslaatu;orgkerrospaksuus;maalaji;raekoko;maaperanpaksuus;jaksoja;kehitysluokka;vallitsevapl;ppa;runkoluku;keskilpm;keskipituus;rinnankorkeusika;alikasvoskehitysluokka;alikasvospl;alikasvosppa;ylispuutkehitysluokka;ylispuutpl;ylispuutppa;maanpinnankasittely;viljely;muutoimenpide;maanpinnankasittelyehdotus;maanpinnankasittelyaika;viljelyaika;muutoimenpideaika
P;536-38;6;1;108;1150;1193;1;1;0;1;3;0;;;0;0;;0;;1;0;4;24;3;1;3;2;3;1;10;1650;1;16;;;;9;7;1;;0;0;0;0;;;
P;536-38;7;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;7;2;;;;0;;4;4;;0;0;;2;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;8;1;;;;;1;2;;8;0;4;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;9;1;;;;;1;2;;3;5;;3;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;10;1;;;;;1;2;;1;5;;1;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;11;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;12;1;108;1150;1195;1;1;0;2;3;0;;2;4;1;36;0;3;1;0;4;35;0;0;3;2;5;2;32;;23;234;;3;2;;;;0;0;0;0;0;;;
P;538-34;3;1;;;;;2;1;;;;;;0;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;538-34;4;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;538-34;5;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;538-34;6;1;214;900;1197;3;3;0;3;5;3;21;;0;0;;0;;;;4;200;0;0;3;;;;;;;;;;;;;;;;0;;;;;
P;538-34;7;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;538-34;8;1;214;;;3;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;538-34;9;1;214;900;1197;1;1;0;1;3;0;;;0;0;;0;;1;0;1;4;3;2;3;1;5;2;38;;17;200;;;;;;;;0;0;0;0;;;
P;538-34;9;3;214;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;538-34;10;1;;;;;1;2;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;538-34;11;1;214;903;1197;1;1;0;1;2;0;;;0;0;;0;;0;0;5;10;3;2;3;1;6;2;29;;29;257;;;;;;;;0;0;0;1;;;
P;538-34;12;1;214;967;1192;1;1;0;1;3;0;;;0;0;;0;;1;0;1;5;3;2;3;1;4;1;19;;15;136;;;;;;;;0;1;0;0;;;
P;540-30;4;1;214;;;3;6;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;540-30;8;1;214;724;1204;1;1;0;1;3;0;;;0;0;;0;;1;0;1;5;3;2;3;1;5;2;11;;19;160;;;;;;;;0;0;4;0;;;3
P;540-30;9;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;540-30;10;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;540-30;12;1;214;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;540-30;12;2;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;4;1;581;1156;1164;1;1;0;1;2;0;;;0;0;;0;;0;0;1;3;4;2;3;1;5;1;21;;26;236;;;;;;;;0;0;0;0;;;
P;542-36;4;3;581;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;7;1;581;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;8;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;9;1;;;;;1;1;;;;;;;;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;10;1;;;;;1;1;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;11;1;581;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;12;1;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;542-36;3;1;99;1119;1155;1;1;0;2;2;0;;1;4;1;50;0;2;0;0;6;55;0;0;3;2;5;1;22;;21;168;;3;2;;;;1;0;1;0;0;;;
P;544-32;3;2;;;;;1;4;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;4;1;;;;;1;1;;6;2;2;6;5;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;5;1;;;;;1;1;;4;7;2;4;5;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;6;1;;;;;1;0;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;6;2;;;;0;;3;6;;0;0;;1;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;7;1;;;;;1;1;;1;0;2;1;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;8;1;99;1200;1149;1;1;0;1;5;0;;;1;1;8;0;1;3;0;1;9;3;2;3;1;6;1;17;;22;172;;;;;;;;0;0;0;1;;;
P;544-32;9;1;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;10;1;;;;;1;1;;4;0;2;4;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;11;1;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;544-32;11;2;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
